2026-07-11 22:28:05 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-11 22:28:05 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-11 22:28:05 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-11 22:28:05 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v1 initial_schema
2026-07-11 22:28:05 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v2 seed_defaults
2026-07-11 22:28:05 | INFO     | uzerp.migrations | 2 ta migratsiya qo'llandi.
2026-07-11 22:28:05 | INFO     | uzerp.auth | Admin foydalanuvchi yaratildi (parol: data/admin_credentials.txt)
2026-07-11 22:28:05 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-11 22:28:37 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-11 22:28:37 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-11 22:28:37 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-11 22:28:37 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 07:57:16 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 07:57:16 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 07:57:16 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 07:57:16 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 07:58:08 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 07:58:08 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 07:58:08 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 07:58:08 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v1 initial_schema
2026-07-12 07:58:08 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v2 seed_defaults
2026-07-12 07:58:08 | INFO     | uzerp.migrations | 2 ta migratsiya qo'llandi.
2026-07-12 07:58:08 | INFO     | uzerp.auth | Admin foydalanuvchi yaratildi (parol: data/admin_credentials.txt)
2026-07-12 07:58:08 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 07:58:25 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 07:58:25 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 07:58:25 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 07:58:25 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 08:16:59 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 08:16:59 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 08:16:59 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 08:16:59 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v1 initial_schema
2026-07-12 08:16:59 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v2 seed_defaults
2026-07-12 08:16:59 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v3 seed_defaults_v2
2026-07-12 08:16:59 | INFO     | uzerp.migrations | 3 ta migratsiya qo'llandi.
2026-07-12 08:16:59 | INFO     | uzerp.auth | Admin foydalanuvchi yaratildi (parol: data/admin_credentials.txt)
2026-07-12 08:16:59 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 08:18:20 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 08:18:20 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 08:18:20 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 08:18:20 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v1 initial_schema
2026-07-12 08:18:20 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v2 seed_defaults
2026-07-12 08:18:20 | INFO     | uzerp.migrations | Migratsiya qo'llanmoqda: v3 seed_defaults_v2
2026-07-12 08:18:20 | INFO     | uzerp.migrations | 3 ta migratsiya qo'llandi.
2026-07-12 08:18:20 | INFO     | uzerp.auth | Admin foydalanuvchi yaratildi (parol: data/admin_credentials.txt)
2026-07-12 08:18:20 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 09:10:56 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 09:10:56 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 09:10:56 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 09:10:56 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
2026-07-12 09:10:56 | INFO     | uzerp.bootstrap | Bootstrap tugadi: db=sqlite, jadval=32 ta
2026-07-12 09:11:50 | INFO     | uzerp.bootstrap | UzERP ishga tushmoqda... (base_dir=C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform)
2026-07-12 09:11:50 | INFO     | uzerp.db | PostgreSQL topilmadi (ModuleNotFoundError) — SQLite ishlatiladi.
2026-07-12 09:11:50 | INFO     | uzerp.db | SQLite ulanish ochildi: C:\Users\comp_2.1\Downloads\claude_cowork\erp_platform\data\erp.db
2026-07-12 09:11:50 | INFO     | uzerp.PluginService | Pluginlar: 1 ta yuklandi, 0 ta xato.
